ParticipantNo.,display_word,recalled_word,word_length,,,participantno.,word_length,avg_accuracy
P1,sun,cat,short,,,1,Short,0.8
P1,egg,bus,short,,,1,Long,0.6
P1,bus,sun,short,,,2,Short,0.8
P1,air,egg,short,,,2,Long,0.8
P1,cat,-,-,,,3,Short,1
P1,mountain,mountain,long,,,3,Long,0.6
P1,umbrella,umbrella,long,,,4,Short,1
P1,notebook,jewelery,long,,,4,Long,0.8
P1,jewelery,-,-,,,5,Short,1
P1,crocodile,-,-,,,5,Long,0.4
P2,cat,cat,short,,,6,Short,0.8
P2,air,air,short,,,6,Long,0.4
P2,egg,egg,short,,,7,Short,1
P2,sun,sun,short,,,7,Long,0.6
P2,bus,-,-,,,8,Short,1
P2,jewelery,notebook,long,,,8,Long,0
P2,umbrella,crocodile,long,,,9,Short,1
P2,crocodile,mountain,long,,,9,Long,0.8
P2,notebook,jewelery,long,,,10,Short,1
P2,mountain,-,-,,,10,Long,0.8
P3,bus,cat,short,,,11,Short,1
P3,egg,air,short,,,11,Long,1
P3,sun,egg,short,,,12,Short,1
P3,cat,sun,short,,,12,Long,0.8
P3,air,bus,short,,,13,Short,1
P3,mountain,mountain,long,,,13,Long,0.8
P3,notebook,crocodile,long,,,14,Short,1
P3,umbrella,jewelery,long,,,14,Long,1
P3,jewelery,-,-,,,15,Short,1
P3,crocodile,-,-,,,15,Long,1
P4,egg,air,short,,,16,Short,0.8
P4,cat,cat,short,,,16,Long,0.6
P4,bus,egg,short,,,17,Short,1
P4,sun,sun,short,,,17,Long,0.6
P4,air,bus,short,,,18,Short,1
P4,mountain,mountain,long,,,18,Long,0.6
P4,umbrella,jewelery,long,,,19,Short,1
P4,jewelery,notebook,long,,,19,Long,0.6
P4,notebook,umbrella,long,,,20,Short,1
P4,crocodile,elephant,-,,,20,Long,0.8
P5,cat,cat,short,,,,,
P5,sun,air,short,,,,,
P5,air,sun,short,,,,,
P5,bus,egg,short,,,,,
P5,egg,bus,short,,,,,
P5,jewelery,umbrella,long,,,,,
P5,mountain,jewelery,long,,,,,
P5,crocodile,elephant,-,,,,,
P5,notebook,-,-,,,,,
P5,umbrella,-,-,,,,,
P6,bus,egg,short,,,,,
P6,cat,sun,short,,,,,
P6,air,bus,short,,,,,
P6,sun,air,short,,,,,
P6,egg,-,-,,,,,
P6,notebook,jewelery,long,,,,,
P6,mountain,umbrella,long,,,,,
P6,crocodile,-,-,,,,,
P6,umbrella,-,-,,,,,
P6,jewelery,-,-,,,,,
P7,bus,cat,short,,,,,
P7,sun,bus,short,,,,,
P7,cat,sun,short,,,,,
P7,air,air,short,,,,,
P7,egg,egg,short,,,,,
P7,mountain,mountain,long,,,,,
P7,crocodile,crocodile,long,,,,,
P7,umbrella,notebook,long,,,,,
P7,notebook,-,-,,,,,
P7,jewelery,-,-,,,,,
P8,air,air,short,,,,,
P8,sun,sun,short,,,,,
P8,egg,egg,short,,,,,
P8,bus,bus,short,,,,,
P8,cat,cat,short,,,,,
P8,crocodile,-,-,,,,,
P8,umbrella,-,-,,,,,
P8,jewelery,-,-,,,,,
P8,mountain,-,-,,,,,
P8,notebook,-,-,,,,,
P9,egg,egg ,short,,,,,
P9,cat,cat,short,,,,,
P9,bus,bus,short,,,,,
P9,sun,sun,short,,,,,
P9,air,air,short,,,,,
P9,notebook,crocodile ,long,,,,,
P9,crocodile,jewelery ,long,,,,,
P9,umbrella,notebook ,long,,,,,
P9,mountain,umbrella,long,,,,,
P9,jewelery,-,-,,,,,
P10,bus,air ,short,,,,,
P10,cat,bus,short,,,,,
P10,sun,cat,short,,,,,
P10,egg,sun,short,,,,,
P10,air,egg,short,,,,,
P10,notebook,crocodile ,long,,,,,
P10,crocodile,jewelery,long,,,,,
P10,mountain,notebook,long,,,,,
P10,umbrella,mountain,long,,,,,
P10,jewelery,-,-,,,,,
P11,bus,air ,short,,,,,
P11,sun,bus,short,,,,,
P11,cat,sun,short,,,,,
P11,air,cat,short,,,,,
P11,egg,egg,short,,,,,
P11,umbrella,mountain,long,,,,,
P11,jewelery,crocodile,long,,,,,
P11,crocodile,jewelery ,long,,,,,
P11,notebook,notebook ,long,,,,,
P11,mountain,umbrella,long,,,,,
P12,bus,bus,short,,,,,
P12,cat,cat,short,,,,,
P12,sun,sun,short,,,,,
P12,air,air,short,,,,,
P12,egg,egg,short,,,,,
P12,jewelery,jewelery,long,,,,,
P12,mountain,mountain,long,,,,,
P12,crocodile,crocodile,long,,,,,
P12,notebook,umbrella,long,,,,,
P12,umbrella,-,-,,,,,
P13,bus,bus,short,,,,,
P13,cat,cat,short,,,,,
P13,sun,sun,short,,,,,
P13,egg,egg,short,,,,,
P13,air,air,short,,,,,
P13,mountain,mountain,long,,,,,
P13,crocodile,crocodile,long,,,,,
P13,notebook,notebook,long,,,,,
P13,umbrella,jewelery,long,,,,,
P13,jewelery,-,-,,,,,
P14,air,air,short,,,,,
P14,cat,cat,short,,,,,
P14,bus,bus,short,,,,,
P14,egg,sun,short,,,,,
P14,sun,egg,short,,,,,
P14,crocodile,crocodile,long,,,,,
P14,umbrella,umbrella,long,,,,,
P14,mountain,mountain,long,,,,,
P14,jewelery,jewelery,long,,,,,
P14,notebook,notebook,long,,,,,
P15,bus,bus,short,,,,,
P15,sun,sun,short,,,,,
P15,air,air,short,,,,,
P15,cat,cat,short,,,,,
P15,egg,egg,short,,,,,
P15,umbrella,umbrella,long,,,,,
P15,notebook,notebook,long,,,,,
P15,crocodile,crocodile,long,,,,,
P15,mountain,jewelery,long,,,,,
P15,jewelery,mountain,long,,,,,
P16,sun,sun,short,,,,,
P16,cat,cat,short,,,,,
P16,air,air,short,,,,,
P16,bus,egg,short,,,,,
P16,egg,-,-,,,,,
P16,crocodile,umbrella,long,,,,,
P16,jewelery,mountain,long,,,,,
P16,mountain,crocodile,long,,,,,
P16,umbrella,-,-,,,,,
P16,notebook,-,-,,,,,
P17,air,air,short,,,,,
P17,sun,sun,short,,,,,
P17,egg,egg,short,,,,,
P17,bus,cat,short,,,,,
P17,cat,bus,short,,,,,
P17,jewelery,crocodile,long,,,,,
P17,crocodile,umbrella,long,,,,,
P17,umbrella,mountain,long,,,,,
P17,mountain,-,-,,,,,
P17,notebook,-,-,,,,,
P18,bus,bus,short,,,,,
P18,egg,air,short,,,,,
P18,air,egg,short,,,,,
P18,cat,sun,short,,,,,
P18,sun,cat,short,,,,,
P18,crocodile,crocodile,long,,,,,
P18,jewelery,mountain,long,,,,,
P18,mountain,notebook,long,,,,,
P18,umbrella,-,-,,,,,
P18,notebook,-,-,,,,,
P19,egg,bus,short,,,,,
P19,sun,egg,short,,,,,
P19,bus,air,short,,,,,
P19,air,cat,short,,,,,
P19,cat,sun,short,,,,,
P19,crocodile,crocodile,long,,,,,
P19,mountain,notebook,long,,,,,
P19,notebook,mountain,long,,,,,
P19,umbrella,-,-,,,,,
P19,jewelery,-,-,,,,,
P20,air,air,short,,,,,
P20,cat,sun,short,,,,,
P20,egg,egg,short,,,,,
P20,sun,cat,short,,,,,
P20,bus,bus,short,,,,,
P20,umbrella,umbrella,long,,,,,
P20,notebook,mountain,long,,,,,
P20,mountain,notebook,long,,,,,
P20,jewelery,crocodile,long,,,,,
P20,crocodile,-,-,,,,,
