trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.04986050000297837,,0.03305199998430908,0.04986050000297837,1.072824299975764,1.0816717999987304,1.8412085000018124,down,1,0.7547922999947332,None,4,357842,001,2024-09-13_11h30.00.567,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h30.06.585620 +0530,
1,0,1,0,1.8640447999932803,,1.8431894999812357,1.8640447999932803,2.8486408999888226,2.8660335000022314,3.383324900001753,down,1,0.5215843000041787,None,-2,357842,001,2024-09-13_11h30.00.567,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h30.06.585620 +0530,
2,0,2,0,3.3986576999886893,,3.384730599995237,3.3986576999886893,4.398551799997222,4.398551799997222,5.850561699975515,up,0,1.4445127999933902,None,2,357842,001,2024-09-13_11h30.00.567,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h30.06.585620 +0530,
3,0,3,0,5.8659049999841955,,5.851903899980243,5.8659049999841955,6.865453499980504,6.865453499980504,8.06658499999321,up,1,1.185514199984027,None,0,357842,001,2024-09-13_11h30.00.567,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h30.06.585620 +0530,
4,0,4,0,8.081480799999554,,8.067993099975865,8.081480799999554,9.081743099988671,9.081743099988671,9.750025399989681,up,1,0.6514575999754015,None,0,357842,001,2024-09-13_11h30.00.567,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h30.06.585620 +0530,
5,0,5,0,9.764827899984084,,9.751437099999748,9.764827899984084,10.764914699975634,10.764914699975634,11.79971029999433,up,0,1.0189330999855883,None,4,357842,001,2024-09-13_11h30.00.567,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h30.06.585620 +0530,
6,0,6,0,11.814405899989652,,11.801109399995767,11.814405899989652,12.814818899991224,12.814818899991224,13.83317519997945,down,0,1.0155165000178386,None,0,357842,001,2024-09-13_11h30.00.567,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h30.06.585620 +0530,
7,0,7,0,13.847614300000714,,13.834567599988077,13.847614300000714,14.847975999990012,14.847975999990012,15.516648799995892,down,1,0.664300300006289,None,2,357842,001,2024-09-13_11h30.00.567,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h30.06.585620 +0530,
8,0,8,0,15.53120329999365,,15.518047099991236,15.53120329999365,16.53111679997528,16.53111679997528,17.31672659999458,up,1,0.783828599989647,None,0,357842,001,2024-09-13_11h30.00.567,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h30.06.585620 +0530,
9,0,9,0,17.33123519999208,,17.318241599976318,17.33123519999208,18.33066819998203,18.33066819998203,18.966689599998062,up,1,0.6317109999945387,None,0,357842,001,2024-09-13_11h30.00.567,Task2_SignalDetection,2024.1.5,None,2024-09-13 11h30.06.585620 +0530,
